Designator,Footprint,Mid X(mm),Mid Y(mm),Layer,Rotation,Comment
R72,R_0603,97.593,33.85,Top,0,300Ω
R73,R_0603,112.3,87.4,Top,0,10kΩ
R74,R_0603,116.9,87.4,Top,0,10kΩ
R75,R_0603,112.3,90.1,Top,0,10kΩ
R76,R_0603,116.9,90.1,Top,0,10kΩ
R79,R_0603,112.3,112.1,Top,0,10kΩ
R8,R_0805,101.25,41.15,Top,180.0,1kΩ
R80,R_0603,116.9,112.1,Top,0,10kΩ
R81,R_0603,112.3,114.6,Top,0,10kΩ
R82,R_0603,116.9,114.6,Top,0,10kΩ
R85,R_0603,66.465,78.575,Top,180.0,10kΩ
R86,R_0603,62.528,78.575,Top,180.0,10kΩ
R87,R_0603,66.465,76.075,Top,180.0,10kΩ
R88,R_0603,62.528,76.075,Top,180.0,10kΩ
R9,R_0805,105.2,117.2,Top,-90.0,2.2kΩ
S1,SW_TS-1088-AR02016,102.25,52.75,Top,180.0,Tactile Button 160gf
U1,HDR-TH_20P-P2.54-V-F-2,75.8,51.68,Top,-90.0,KH-2.54FH-1X20P-H8.5
U2,HDR-TH_20P-P2.54-V-F-2,93.58,51.68,Top,90.0,KH-2.54FH-1X20P-H8.5
U6,Texas_S-PDSO-G8_3x3mm_P0.65mm,75.0,92.5,Top,-90.0,PCA9306
U7,TSSOP-28_4.4x9.7mm_P0.65mm,57.8,100.0,Top,0,PCA9685PW
Y1,Crystal_SMD_3.2x2.5mm,65.64,98.3,Top,90.0,25MHz
