Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R39,10kΩ,R_0603,38.7,97.3,-90.0,Top
R4,10kΩ,R_0603,102.0,50.0,180.0,Top
R40,10kΩ,R_0603,38.7,100.5,-90.0,Top
R41,10kΩ,R_0603,40.3,97.3,-90.0,Top
R42,10kΩ,R_0603,40.3,100.5,-90.0,Top
R43,220Ω,R_0603,33.98,111.0,-90.0,Top
R44,220Ω,R_0603,36.52,111.0,-90.0,Top
R45,220Ω,R_0603,39.06,111.0,-90.0,Top
R46,220Ω,R_0603,41.6,111.0,-90.0,Top
R47,220Ω,R_0603,46.682,111.0,-90.0,Top
R48,220Ω,R_0603,49.222,111.0,-90.0,Top
R49,220Ω,R_0603,51.762,111.0,-90.0,Top
R5,10kΩ,R_0603,97.05,37.05,90.0,Top
R50,220Ω,R_0603,54.302,111.0,-90.0,Top
R51,220Ω,R_0603,61.932,111.0,-90.0,Top
R52,220Ω,R_0603,64.472,111.0,-90.0,Top
R53,220Ω,R_0603,67.012,111.0,-90.0,Top
R54,220Ω,R_0603,69.552,111.0,-90.0,Top
R55,220Ω,R_0603,74.632,111.0,-90.0,Top
R56,220Ω,R_0603,77.172,111.0,-90.0,Top
R57,220Ω,R_0603,79.712,111.0,-90.0,Top
R58,220Ω,R_0603,82.252,111.0,-90.0,Top
R59,10kΩ,R_0603,41.9,97.3,-90.0,Top
R6,1kΩ,R_0603,96.831,74.6,90.0,Top
R60,10kΩ,R_0603,41.9,100.5,-90.0,Top
R61,10kΩ,R_0603,113.2,40.9,0,Top
R62,10kΩ,R_0603,117.8,40.9,0,Top
R63,10kΩ,R_0603,113.2,43.4,0,Top
R64,10kΩ,R_0603,117.8,43.4,0,Top
R65,10kΩ,R_0603,127.362,89.247,90.0,Top
R66,10kΩ,R_0603,127.362,113.631,90.0,Top
R67,10kΩ,R_0603,112.3,62.9,0,Top
R68,10kΩ,R_0603,116.9,62.9,0,Top
R69,10kΩ,R_0603,112.3,65.6,0,Top
R7,5.1kΩ,R_0805,143.2,129.1,0,Top
R70,10kΩ,R_0603,116.9,65.6,0,Top
R71,10kΩ,R_0603,50.25,80.25,0,Top
R72,300Ω,R_0603,97.593,33.85,0,Top
R73,10kΩ,R_0603,112.3,87.4,0,Top
R74,10kΩ,R_0603,116.9,87.4,0,Top
R75,10kΩ,R_0603,112.3,90.1,0,Top
R76,10kΩ,R_0603,116.9,90.1,0,Top
R79,10kΩ,R_0603,112.3,112.1,0,Top
R8,1kΩ,R_0805,101.25,41.15,180.0,Top
R80,10kΩ,R_0603,116.9,112.1,0,Top
R81,10kΩ,R_0603,112.3,114.6,0,Top
R82,10kΩ,R_0603,116.9,114.6,0,Top
R85,10kΩ,R_0603,66.465,78.575,180.0,Top
R86,10kΩ,R_0603,62.528,78.575,180.0,Top
R87,10kΩ,R_0603,66.465,76.075,180.0,Top
R88,10kΩ,R_0603,62.528,76.075,180.0,Top
R9,2.2kΩ,R_0805,105.2,117.2,-90.0,Top
S1,"Tactile Button, 160gf",SW_TS-1088-AR02016,102.25,52.75,180.0,Top
U1,KH-2.54FH-1X20P-H8.5,HDR-TH_20P-P2.54-V-F-2,75.8,51.68,-90.0,Top
U2,KH-2.54FH-1X20P-H8.5,HDR-TH_20P-P2.54-V-F-2,93.58,51.68,90.0,Top
U3,R-78C5.0-1.0,Converter_DCDC_RECOM_R-78E-0.5_THT,111.817,28.192,180.0,Top
U4,R-78B12-2.0,Converter_DCDC_RECOM_R-78B-2.0_THT,95.392,123.698,90.0,Top
U5,R-78B6.5-1.5,Converter_DCDC_RECOM_R-78B-2.0_THT,98.33,112.457,180.0,Top
U6,PCA9306,Texas_S-PDSO-G8_3x3mm_P0.65mm,75.0,92.5,-90.0,Top
U7,PCA9685PW,TSSOP-28_4.4x9.7mm_P0.65mm,57.8,100.0,0,Top
Y1,25MHz,Crystal_SMD_3.2x2.5mm,65.64,98.3,90.0,Top
